box_number,package_name,length_in,width_in,height_in,package_weight_lbs,admin_status,shopify_package_gid
2,Petals Package #2,7,7,14,0,pending,
5,Petals Package #5,9,9,17,0,pending,
6,Petals Package #6,10,10,23,0,pending,
7,Petals Package #7,11,11,14,0,pending,
8,Petals Package #8,13,13,15,0,pending,
10,Petals Package #10,12,13,15,0,pending,
11,Petals Package #11,17,16,17,0,pending,
14,Petals Package #14,15,14,24,0,pending,
15,Petals Package #15,12,12,33,0,pending,
16,Petals Package #16,13,13,28,0,pending,
17,Petals Package #17,22,22,7,0,pending,
18,Petals Package #18,11,7,31,0,pending,
19,Petals Package #19,15,15,33,0,pending,
20,Petals Package #20,20,11,20,0,pending,
21,Petals Package #21,14,14,26,0,pending,
24,Petals Package #24,9,9,9,0,pending,
27,Petals Package #27,16,16,39,0,pending,
28,Petals Package #28,11,11,9,0,pending,
34,Petals Package #34,11,11,13,0,pending,
41,Petals Package #41,14,14,16,0,pending,
42,Petals Package #42,19,19,7,0,pending,
45,Petals Package #45,15,15,20,0,pending,
48,Petals Package #48,17,17,17,0,pending,
50,Petals Package #50,17,17,48,0,pending,
54,Petals Package #54,19,19,19,0,pending,
55,Petals Package #55,19,19,25,0,pending,
60,Petals Package #60,21,21,21,0,pending,
66,Petals Package #66,31,31,7,0,pending,
67,Petals Package #67,12,10,3,0,pending,
68,Petals Package #68,7,7,10,0,pending,
69,Petals Package #69,15,15,5,0,pending,
72,Petals Package #72,25,25,25,0,pending,
78,Petals Package #78,7,7,13,0,pending,
105,Petals Package #105,7,10,47,0,pending,
106,Petals Package #106,9,10,47,0,pending,
107,Petals Package #107,9,12,47,0,pending,
125,Petals Package #125,8,10,47,0,pending,
126,Petals Package #126,9,11,47,0,pending,
127,Petals Package #127,10,11,47,0,pending,
135,Petals Package #135,11,7,47,0,pending,
136,Petals Package #136,11,9,47,0,pending,
137,Petals Package #137,10,12,47,0,pending,
205,Petals Package #205,7,11,47,0,pending,
206,Petals Package #206,10,10,48,0,pending,
207,Petals Package #207,11,10,48,0,pending,
311,Petals Package #311,11,7,47,0,pending,
333,Petals Package #333,9,11,47,0,pending,
335,Petals Package #335,7,10,48,0,pending,
336,Petals Package #336,12,10,48,0,pending,
337,Petals Package #337,12,10,48,0,pending,
340,Petals Package #340,7,8,32,0,pending,
345,Petals Package #345,10,8,48,0,pending,
346,Petals Package #346,12,9,47,0,pending,
347,Petals Package #347,13,10,48,0,pending,
350,Petals Package #350,10,9,47,0,pending,
356,Petals Package #356,9,12,47,0,pending,
357,Petals Package #357,13,10,47,0,pending,
359,Petals Package #359,10,9,32,0,pending,
495,Petals Package #495,10,8,47,0,pending,
518,Petals Package #518,19,7,7,0,pending,
524,Petals Package #524,25,7,7,0,pending,
528,Petals Package #528,29,7,7,0,pending,
530,Petals Package #530,30,6,6,0,pending,
532,Petals Package #532,33,7,7,0,pending,
536,Petals Package #536,37,7,7,0,pending,
538,Petals Package #538,33,9,9,0,pending,
540,Petals Package #540,9,9,41,0,pending,
542,Petals Package #542,43,12,7,0,pending,
548,Petals Package #548,41,5,5,0,pending,
549,Petals Package #549,42,11,11,0,pending,
550,Petals Package #550,44,13,13,0,pending,
551,Petals Package #551,9,19,25,0,pending,
705,Petals Package #705,14,10,43,0,pending,
765,Petals Package #765,14,10,43,0,pending,
956,Petals Package #956,9,12,47,0,pending,
957,Petals Package #957,9,12,47,0,pending,
